seq	kingdom	phylum	class	order	family	genus	species
seq_13101	Fungi	Basidiomycota	Pucciniomycetes	Septobasidiales	Septobasidiaceae	Septobasidium	NA
seq_13102	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma	NA
seq_13104	NA	NA	NA	NA	NA	NA	NA
seq_13105	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
seq_13106	NA	NA	NA	NA	NA	NA	NA
seq_13108	NA	NA	NA	NA	NA	NA	NA
seq_13110	Fungi	Ascomycota	Sordariomycetes	Phomatosporales	Phomatosporaceae	Phomatospora	NA
seq_13111	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cuniculitremaceae	Fellomyces	NA
seq_13112	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	NA
seq_13113	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
seq_13114	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Polygonaceae	Polygonum	Polygonum aschersonianum
seq_13115	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Sphaerostilbella	NA
seq_13116	NA	NA	NA	NA	NA	NA	NA
seq_13122	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
seq_13123	NA	NA	NA	NA	NA	NA	NA
seq_13125	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
seq_13129	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	NA	NA	NA
seq_13130	NA	NA	NA	NA	NA	NA	NA
seq_13131	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
seq_13132	Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia	Puccinia arrhenathericola
seq_13134	NA	NA	NA	NA	NA	NA	NA
seq_13135	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	NA	NA	NA
seq_13136	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Oliveoniaceae	Oliveonia	NA
seq_13137	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Sistotrema	NA
seq_13138	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Kondoaceae	Bensingtonia	Bensingtonia naganoensis
seq_13139	NA	NA	NA	NA	NA	NA	NA
seq_13140	NA	NA	NA	NA	NA	NA	NA
seq_13142	NA	NA	NA	NA	NA	NA	NA
seq_13143	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	NA
seq_13145	Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia	NA
seq_13146	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
seq_13147	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	NA
seq_13149	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	NA	NA
seq_13150	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	NA
seq_13151	NA	NA	NA	NA	NA	NA	NA
seq_13152	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita	NA
seq_13156	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	NA
seq_13157	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Pithoascus	Pithoascus ater
seq_13159	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Berula	Berula erecta
